"Name","LogicProjectile","ParentProjectileForSkin","Disabled","FileName","BlueSCW","RedSCW","BlueExportName","RedExportName","ShadowExportName","BlueGroundGlowExportName","RedGroundGlowExportName","PreExplosionExportFileName","PreExplosionBlueExportName","PreExplosionRedExportName","PreExplosionScale","HitEffectEnv","HitEffectChar","MaxRangeReachedEffect","CancelEffect","HideTime","Scale","RandomStartFrame","StatusEffectAlly","StatusEffectEnemy","StatusEffectSelfOnHit","SpawnAreaEffectObject","SpawnAreaEffectObject2","SpawnAreaEffectObjectsAdditional","SpawnItem","SpawnAreaEffectTrail","TrailEffect","SpecialTrailEffect","SpecialTrailEffect2","TrailBehaviorType","TargetedToSourceEffect","TargetedToSourceEffectOnTarget","Rendering","ChainBullet","AnimateByDistanceTravelled","SpecialVisualState","HideFaster","UseColorMod","RedAdd","GreenAdd","BlueAdd","RedMul","GreenMul","BlueMul","GroundBasis","AppliedEffectVisualType","VisualizeEndPoint","CustomObject","CustomObject2","OnCreateAreaEffect","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"string","string","string","boolean","string","string","string","string","string","string","string","string","string","string","string","int","string","string","string","string","int","int","int","string","string","string","string","string","string","string","string","string","string","string","int","string","string","string","string","boolean","boolean","boolean","boolean","int","int","int","int","int","int","boolean","int","boolean","string","string","string","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ShotgunGirlProjectile","ShotgunGirlProjectile","","","sc/effects_brawler.sc","","","bullet_shotgun_def_blue_long","bullet_shotgun_def_red_long","shadow_normal_circle","","","","","","","Gen_hit","Gen_hit","bull_def_atk_reached","","0","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ShotgunGirlUltiProjectile","ShotgunGirlUltiProjectile","","","sc/effects_brawler.sc","","","bullet_shotgun_ulti_blue","bullet_shotgun_ulti_red","shadow_normal_circle","","","","","","","Gen_hit","Gen_hit","shelly_def_ulti_reached","","0","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Shelly002Projectile","ShotgunGirlProjectile","ShotgunGirlProjectile","","sc/effects.sc","","","shelly_attack_anim_blue","shelly_attack_anim_red","shadow_normal_circle","","","","","","","Gen_hit","Gen_hit","no_hit","","0","100","","","","","","","","","","shotgun_trail_small","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Shelly002UltiProjectile","ShotgunGirlUltiProjectile","ShotgunGirlUltiProjectile","","sc/effects.sc","","","shelly_ulti_anim_blue","shelly_ulti_anim_red","shadow_normal_circle","","","","","","","Gen_hit","Gen_hit","no_hit","","0","100","","","","","","","","","","Gen_Trail_small","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Shelly009Projectile","ShotgunGirlProjectile","ShotgunGirlProjectile","","sc/effects_brawler.sc","","","shelly_002_atk_projectile","shelly_002_atk_projectile_red","shadow_normal_circle","","","","","","","shelly_002_atk_hitEnv","shelly_002_atk_hit","shelly_002_atk_reached","","0","100","","","","","","","","","","shelly_002_atk_trail","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Shelly009UltiProjectile","ShotgunGirlUltiProjectile","ShotgunGirlUltiProjectile","","sc/effects_brawler.sc","","","shelly_002_ulti_projectile","shelly_002_ulti_projectile_red","shadow_normal_circle_big","","","","","","","shelly_002_ulti_hitEnv","shelly_002_ulti_hit","shelly_002_ulti_reached","","0","100","2","","","","","","","","","shelly_002_ulti_trail","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Shelly003Projectile","ShotgunGirlProjectile","ShotgunGirlProjectile","","sc/effects_brawler.sc","","","shelly_003_atk_projectile","shelly_003_atk_projectile_red","shadow_normal_circle","","","","","","","shelly_003_atk_hitEnv","shelly_003_atk_hit","shelly_003_atk_reached","","0","100","","","","","","","","","","shelly_003_atk_trail","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Shelly003UltiProjectile","ShotgunGirlUltiProjectile","ShotgunGirlUltiProjectile","","sc/effects_brawler.sc","","","shelly_003_ulti_projectile","shelly_003_ulti_projectile_red","shadow_normal_circle","","","","","","","shelly_003_ulti_reached","shelly_003_ulti_hit_red","shelly_003_ulti_reached","","0","100","","","","","","","","","","shelly_003_ulti_trail","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Shelly004Projectile","ShotgunGirlProjectile","ShotgunGirlProjectile","","sc/effects_brawler.sc","","","bullet_shotgun_def_blue_long","shelly_003_atk_projectile_red","","projectile_light","projectile_light_red","","","","","shelly_003_atk_hitEnv","shelly_003_atk_hit","","","0","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
